url,name,category,cost,imageURL,preparationTime,cookingTime,totalTime,yield,isLowNickel,isVegetarian,isLactoseFree,isGlutenFree,isLight,calories,carbs,sugar,protein,fat,saturatedFat,fiber,chol,sodium,bestRating,ratingCount,ratingValue
https://ricette.giallozafferano.it/Hamburger-di-ceci.html,"Hamburger di ceci","Secondi piatti","Molto basso",https://www.giallozafferano.it/images/ricette/11/1178/foto_hd/hd650x433_wm.jpg,PT20M,PT5M,PT25M,8,0,1,0,0,0,365,57.7,6.3,12.4,9.4,1.66,9.1,53,944,5,38,3.8
https://ricette.giallozafferano.it/Paste-di-mandorla.html,"Paste di mandorla","Dolci","Medio",https://www.giallozafferano.it/images/ricette/183/18338/foto_hd/hd650x433_wm.jpg,PT30M,PT10M,PT40M,20,0,1,1,0,0,126,13.8,13.8,2.4,6.8,0.56,1.9,0,6,5,54,4.3
https://ricette.giallozafferano.it/Pancakes-senza-burro.html,"Pancake senza burro","Dolci","Molto basso",https://www.giallozafferano.it/images/ricette/164/16427/foto_hd/hd650x433_wm.jpg,PT10M,PT4M,PT14M,4,0,1,0,0,0,199,32.9,4.2,8.7,3.6,1.73,1,60,63,5,44,4.3
https://ricette.giallozafferano.it/Filetti-di-salmone-alla-mediterranea.html,"Filetti di salmone alla mediterranea","Secondi piatti","None",https://www.giallozafferano.it/images/ricette/161/16169/foto_hd/hd650x433_wm.jpg,PT10M,PT15M,PT25M,4,0,0,1,1,0,357,4.7,4.7,29.1,24.7,5.43,1.9,53,473,5,46,4.4
https://ricette.giallozafferano.it/Pizzicotti-di-pasta-di-mandorle.html,"Pizzicotti di pasta di mandorle","Dolci","Medio",https://www.giallozafferano.it/images/ricette/183/18382/foto_hd/hd650x433_wm.jpg,PT20M,PT12M,PT32M,18,0,1,1,0,0,145,17.9,17.9,2.6,7,0.58,2,0,8,5,89,4.4
https://ricette.giallozafferano.it/Sugo-di-pomodoro-fresco-al-basilico.html,"Sugo di pomodoro fresco al basilico","Salse e Sughi","Molto basso",https://www.giallozafferano.it/images/ricette/3/314/foto_hd/hd650x433_wm.jpg,PT10M,PT30M,PT40M,4,0,1,1,1,1,103,8.6,8.6,2.5,6.6,0.96,2.3,0,491,5,21,4.3
https://ricette.giallozafferano.it/Culurgionis-d-Ogliastra.html,"Culurgionis d'Ogliastra","Primi piatti","Basso",https://www.giallozafferano.it/images/ricette/1/193/foto_hd/hd650x433_wm.jpg,PT60M,PT7M,PT67M,6,0,1,0,0,0,749,100.5,12.5,21.4,29.1,6.39,9,15,757,5,20,4.3
https://ricette.giallozafferano.it/Bretzel.html,"Bretzel","Lievitati","Molto basso",https://www.giallozafferano.it/images/ricette/9/919/foto_hd/hd650x433_wm.jpg,PT100M,PT20M,PT120M,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,23,4.4
https://ricette.giallozafferano.it/Risotto-alle-verdure.html,"Risotto alle verdure","Primi piatti","Basso",https://www.giallozafferano.it/images/ricette/9/999/foto_hd/hd650x433_wm.jpg,PT15M,PT30M,PT45M,4,0,1,0,0,0,549,78.2,7.4,12.4,20.1,6.26,5.2,21,967,5,13,4.8
https://ricette.giallozafferano.it/Pesche-sciroppate.html,"Pesche sciroppate","Marmellate e Conserve","Basso",https://www.giallozafferano.it/images/ricette/2/257/foto_hd/hd650x433_wm.jpg,PT20M,PT30M,PT50M,2,1,1,1,1,0,99,23.8,23.8,0.7,0.1,0.01,1.7,0,3,5,9,4.7
https://ricette.giallozafferano.it/Polpettone-alla-ligure.html,"Polpettone alla ligure","Piatti Unici","Molto basso",https://www.giallozafferano.it/images/ricette/187/18707/foto_hd/hd650x433_wm.jpg,PT10M,PT118M,PT128M,6,0,1,0,0,0,406,44.3,3.7,20.3,16.4,8.02,6,167,460,5,51,4.1
