mbid,artist_mb,tags_mb,listeners_lastfm
3798b104-01cb-484c-a3b0-56adc6399b80,Rage Against the Machine,political; rock; alternative rock; metal; american; alternative metal; rapcore; funk metal; rap metal; rap rock; rock and indie; best of; angry,2843686
0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,Death Cab for Cutie,rock; american; usa; indie rock; indie; américain; indie pop; rock and indie; ben gibbard,2834516
bc710bcf-8815-42cf-bad2-3f1d12246aeb,Nickelback,rock; alternative rock; death metal; canadian; hard rock; funk rock; electropop; post-grunge; pop rock; pop and chart; music_for_people_who_dislike_music,2832931
596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,pop; electropop; disco; dance-pop; boogie; pop and chart; r&b; contemporary r&b; synth funk,2821887
ba0d6274-db14-4ef5-b28d-657ebde1a396,The Smashing Pumpkins,rock; electronic; alternative rock; progressive rock; industrial rock; shoegaze; ambient; 90s; american; grunge; hard rock; usa; indie rock; alternative; américain; symphonic rock; neo-psychedelia; dream pop; rock and indie; united states,2814837
c485632c-b784-4ee9-8ea1-c5fb365681fc,MGMT,rock; pop; american; usa; indie rock; producer; psychedelic rock; américain; indie pop; psychedelic pop; producteur; ingénieur du son; sound engineer; rock and indie,2795384
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,Johnny Cash,rock; folk; american; blues; singer-songwriter; rockabilly; country; americana; spoken word; contemporary folk; gospel; rock and roll; outlaw country; traditional country; favorite; death by diabetes; country gospel; cowboy; osteraker; johnny cash rock island,2795136
b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,rock; pop; soul; electropop; dance-pop; adult contemporary; pop and chart; teen pop; contemporary r&b,2788515
302bd7b9-d012-4360-897a-93b00c855680,David Guetta,electronic; dance; house; seen live; electropop; eurodance; dance-pop; progressive house; electro house; french house; dance and electronica,2782756
9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,The Who,rock; british; uk; hard rock; britannique; art rock; classic rock; pop rock; british invasion; mod; english; rock opera; classic pop and rock; freakbeat,2766960
06fb1c8b-566e-4cb2-985b-b467c90781d4,Jimi Hendrix,rock; guitarist; american; 60s; hard rock; psychedelic rock; psychedelic; blues rock; jam band; classic rock; acid rock; guitar god; psychadelic; classic pop and rock; united states; jimi hendrix; death by overdose; gypsy sun; death by choking; death by sleeping pills; 27 club,2726814
